# function, flash-pointing literals loaded from a RAM-resident text section
# regenerate: just iram-flash-literals-esp32v3
.AllocAException, 0
.HandleException, 0
.RestoreContext, 0
<esp_hal::asynch::AtomicWaker>::wake, 0
<esp_hal::interrupt::InterruptStatus>::current, 0
<esp_hal::interrupt::InterruptStatusIterator as core::iter::traits::iterator::Iterator>::next, 0
<esp_hal::peripherals::UART0 as esp_hal::uart::Instance>::parts::__esp_hal_internal_irq_handler, 1
<esp_hal::peripherals::UART1 as esp_hal::uart::Instance>::parts::__esp_hal_internal_irq_handler, 1
<esp_hal::peripherals::UART2 as esp_hal::uart::Instance>::parts::__esp_hal_internal_irq_handler, 1
<esp_rtos::run_queue::RunQueue>::mark_task_ready, 3
<esp_rtos::run_queue::RunQueue>::pop, 6
<esp_rtos::run_queue::RunQueue>::select_scheduler_trigger_multi_core, 0
<esp_rtos::run_queue::RunQueue>::select_scheduler_trigger_single_core, 0
<esp_rtos::scheduler::SchedulerState>::resume_task, 1
<lp_ws281x::driver::Ws281xDriver<fw_esp32v3::output::rmt::v3_rmt::V3Rmt, 8: usize>>::fill_half, 0
Reset, 0
_AllocAException, 0
_DoubleExceptionVector, 0
_KernelExceptionVector, 0
_Level2InterruptVector, 0
_Level3InterruptVector, 0
_Level4InterruptVector, 0
_Level5InterruptVector, 0
_Level6InterruptVector, 0
_Level7InterruptVector, 0
_UserExceptionVector, 0
_WindowOverflow12, 0
_WindowOverflow4, 0
_WindowOverflow8, 0
_WindowUnderflow12, 0
_WindowUnderflow4, 0
_WindowUnderflow8, 0
__INTERRUPTS, 0
__default_double_exception, 2
__default_exception, 0
__default_interrupt, 2
__default_naked_double_exception, 0
__default_naked_exception, 0
__default_naked_level_2_interrupt, 0
__default_naked_level_3_interrupt, 0
__default_naked_level_4_interrupt, 0
__default_naked_level_5_interrupt, 0
__default_naked_level_6_interrupt, 0
__default_naked_level_7_interrupt, 0
__default_user_exception, 2
__level_1_interrupt, 1
__level_2_interrupt, 1
__level_3_interrupt, 1
__level_4_interrupt, 0
__level_5_interrupt, 0
__level_6_interrupt, 0
__level_7_interrupt, 0
__pender, 1
__user_exception, 2
_xtensa_lx_rt_copy, 0
_xtensa_lx_rt_zero_fill, 0
esp_hal::gpio::interrupt::__esp_hal_internal_default_gpio_interrupt_handler, 5
esp_hal::interrupt::mapped_to_raw, 2
esp_hal::uart::intr_handler, 0
esp_rom_spiflash_clear_bp, 0
esp_rom_spiflash_enable_write$constprop$0, 0
esp_rom_spiflash_erase_block, 0
esp_rom_spiflash_erase_sector, 0
esp_rom_spiflash_program_page_internal$constprop$0, 0
esp_rom_spiflash_read, 0
esp_rom_spiflash_read_status, 0
esp_rom_spiflash_read_statushigh, 0
esp_rom_spiflash_wait_idle, 0
esp_rom_spiflash_write, 0
esp_rom_spiflash_write_status, 0
esp_rtos::task::arch_specific::cross_core_yield_handler, 21
esp_rtos::timer::timer_tick_handler, 24
esp_storage::chip_specific::spiflash_erase_block, 0
esp_storage::chip_specific::spiflash_erase_sector, 0
esp_storage::chip_specific::spiflash_read, 0
esp_storage::chip_specific::spiflash_unlock, 0
esp_storage::chip_specific::spiflash_write, 0
fw_esp32v3::linker_rwtext_end::rwtext_floor, 0
fw_esp32v3::output::rmt::shared_driver::rmt_isr, 3
fw_esp32v3::output::rmt::wire_pusher::doorbell_isr, 0
fw_esp32v3::output::rmt::wire_pusher::idle_once, 0
fw_esp32v3::output::rmt::wire_pusher::note_wake, 0
fw_esp32v3::output::rmt::wire_pusher::now_us, 0
fw_esp32v3::output::rmt::wire_pusher::ring_doorbell, 0
fw_esp32v3::output::rmt::wire_pusher::run, 2
restore_context, 0
save_context, 0
sym__init_data, 0
sym__post_init, 0
sym__pre_init, 0
sym__zero_bss, 0
sym_bss_end, 0
sym_bss_start, 0
sym_data_end, 0
sym_data_start, 0
sym_init_start, 0
sym_main, 0
sym_sidata, 0
sym_stack_start_cpu0, 0
